"system","user","cores","threads","setthreads","size","actual_mult","actual_solve","maxDiff"
"243","Darwin","AW","0","0","0","0","0","0","0"
"244","Darwin","AW","0","0","0","0","0","0","0"
"245","Darwin","AW","0","0","0","0","0","0","0"
"246","Darwin","AW","0","0","0","0","0","0","0"
"247","Darwin","AW","0","0","0","0","0","0","0"
"248","Darwin","AW","0","0","0","0","0","0","0"
"249","Darwin","AW","0","0","0","0","0","0","0"
"250","Darwin","AW","0","0","0","0","0","0","0"
"251","Darwin","AW","0","0","0","0","0","0","0"
"252","Darwin","AW","0","0","0","0","0","0","0"
"253","Darwin","AW","0","0","0","0","0","0","0"
"254","Darwin","AW","0","0","0","0","0","0","0"
"255","Darwin","AW","0","0","0","0","0","0","0"
"256","Darwin","AW","0","0","0","0","0","0","0"
"257","Darwin","AW","0","0","0","0","0","0","0"
"258","Darwin","AW","0","0","0","0","0","0","0"
"259","Darwin","AW","0","0","0","0","0","0","0"
"260","Darwin","AW","0","0","0","0","0","0","0"
"261","Darwin","AW","0","0","0","0","0","0","0"
"262","Darwin","AW","0","0","0","0","0","0","0"
"263","Darwin","AW","0","0","0","0","0","0","0"
"264","Darwin","AW","0","0","0","0","0","0","0"
"265","Darwin","AW","0","0","0","0","0","0","0"
"266","Darwin","AW","0","0","0","0","0","0","0"
"267","Darwin","AW","0","0","0","0","0","0","0"
"268","Darwin","AW","0","0","0","0","0","0","0"
"269","Darwin","AW","0","0","0","0","0","0","0"
"270","Darwin","AW","0","0","0","0","0","0","0"
"271","Darwin","AW","0","0","0","0","0","0","0"
"272","Darwin","AW","0","0","0","0","0","0","0"
"273","Darwin","AW","0","0","0","0","0","0","0"
"274","Darwin","AW","0","0","0","0","0","0","0"
"275","Darwin","AW","0","0","0","0","0","0","0"
"276","Darwin","AW","0","0","0","0","0","0","0"
"277","Darwin","AW","0","0","0","0","0","0","0"
"278","Darwin","AW","0","0","0","0","0","0","0"
"279","Darwin","AW","0","0","0","0","0","0","0"
"280","Darwin","AW","0","0","0","0","0","0","0"
"281","Darwin","AW","0","0","0","0","0","0","0"
"282","Darwin","AW","0","0","0","0","0","0","0"
"283","Darwin","AW","0","0","0","0","0","0","0"
"284","Darwin","AW","0","0","0","0","0","0","0"
"285","Darwin","AW","0","0","0","0","0","0","0"
"286","Darwin","AW","0","0","0","0","0","0","0"
"287","Darwin","AW","0","0","0","0","0","0","0"
"288","Darwin","AW","0","0","0","0","0","0","0"
"289","Darwin","AW","0","0","0","0","0","0","0"
"290","Darwin","AW","0","0","0","0","0","0","0"
"291","Darwin","AW","0","0","0","0","0","0","0"
"292","Darwin","AW","0","0","0","0","0","0","0"
"293","Darwin","AW","0","0","0","0","0","0","0"
"294","Darwin","AW","0","0","0","0","0","0","0"
"295","Darwin","AW","0","0","0","0","0","0","0"
"296","Darwin","AW","0","0","0","0","0","0","0"
"297","Darwin","AW","0","0","0","0","0","0","0"
"298","Darwin","AW","0","0","0","0","0","0","0"
"299","Darwin","AW","0","0","0","0","0","0","0"
"300","Darwin","AW","0","0","0","0","0","0","0"
"301","Darwin","AW","0","0","0","0","0","0","0"
"302","Darwin","AW","0","0","0","0","0","0","0"
"303","Darwin","AW","0","0","0","0","0","0","0"
"304","Darwin","AW","0","0","0","0","0","0","0"
"305","Darwin","AW","0","0","0","0","0","0","0"
"306","Darwin","AW","0","0","0","0","0","0","0"
"307","Darwin","AW","0","0","0","0","0","0","0"
"308","Darwin","AW","0","0","0","0","0","0","0"
"309","Darwin","AW","0","0","0","0","0","0","0"
"310","Darwin","AW","0","0","0","0","0","0","0"
"311","Darwin","AW","0","0","0","0","0","0","0"
"312","Darwin","AW","0","0","0","0","0","0","0"
"313","Darwin","AW","0","0","0","0","0","0","0"
"314","Darwin","AW","0","0","0","0","0","0","0"
"315","Darwin","AW","0","0","0","0","0","0","0"
"316","Darwin","AW","0","0","0","0","0","0","0"
"317","Darwin","AW","0","0","0","0","0","0","0"
"318","Darwin","AW","0","0","0","0","0","0","0"
"319","Darwin","AW","0","0","0","0","0","0","0"
"320","Darwin","AW","0","0","0","0","0","0","0"
"321","Darwin","AW","0","0","0","0","0","0","0"
"322","Darwin","AW","0","0","0","0","0","0","0"
"323","Darwin","AW","0","0","0","0","0","0","0"
"324","Darwin","AW","0","0","0","0","0","0","0"
"325","Darwin","AW","0","0","0","0","0","0","0"
"326","Darwin","AW","0","0","0","0","0","0","0"
"327","Darwin","AW","0","0","0","0","0","0","0"
"328","Darwin","AW","0","0","0","0","0","0","0"
"329","Darwin","AW","0","0","0","0","0","0","0"
"330","Darwin","AW","0","0","0","0","0","0","0"
"331","Darwin","AW","0","0","0","0","0","0","0"
"332","Darwin","AW","0","0","0","0","0","0","0"
"333","Darwin","AW","0","0","0","0","0","0","0"
"334","Darwin","AW","0","0","0","0","0","0","0"
"335","Darwin","AW","0","0","0","0","0","0","0"
"336","Darwin","AW","0","0","0","0","0","0","0"
"337","Darwin","AW","0","0","0","0","0","0","0"
"338","Darwin","AW","0","0","0","0","0","0","0"
"339","Darwin","AW","0","0","0","0","0","0","0"
"340","Darwin","AW","0","0","0","0","0","0","0"
"341","Darwin","AW","0","0","0","0","0","0","0"
"342","Darwin","AW","0","0","0","0","0","0","0"
"343","Darwin","AW","0","0","0","0","0","0","0"
"344","Darwin","AW","0","0","0","0","0","0","0"
"345","Darwin","AW","0","0","0","0","0","0","0"
"346","Darwin","AW","0","0","0","0","0","0","0"
"347","Darwin","AW","0","0","0","0","0","0","0"
"348","Darwin","AW","0","0","0","0","0","0","0"
"349","Darwin","AW","0","0","0","0","0","0","0"
"350","Darwin","AW","0","0","0","0","0","0","0"
"351","Darwin","AW","0","0","0","0","0","0","0"
"352","Darwin","AW","0","0","0","0","0","0","0"
"353","Darwin","AW","0","0","0","0","0","0","0"
"354","Darwin","AW","0","0","0","0","0","0","0"
"355","Darwin","AW","0","0","0","0","0","0","0"
"356","Darwin","AW","0","0","0","0","0","0","0"
"357","Darwin","AW","0","0","0","0","0","0","0"
"358","Darwin","AW","0","0","0","0","0","0","0"
"359","Darwin","AW","0","0","0","0","0","0","0"
"360","Darwin","AW","0","0","0","0","0","0","0"
"361","Darwin","MT","2","4","1","128","0.00100000000020373","0.00299999999970169","1.85309545486234e-11"
"362","Darwin","MT","2","4","1","128","0.00199999999949796","0.00299999999970169","1.85309545486234e-11"
"363","Darwin","MT","2","4","1","128","0.00199999999949796","0.00299999999970169","1.85309545486234e-11"
"364","Darwin","MT","2","4","1","128","0.00200000000040745","0.00300000000061118","1.85309545486234e-11"
"365","Darwin","MT","2","4","1","128","0.00199999999949796","0.00300000000061118","1.85309545486234e-11"
"366","Darwin","MT","2","4","1","128","0.00199999999949796","0.00299999999970169","1.85309545486234e-11"
"367","Darwin","MT","2","4","1","128","0.00199999999949796","0.00299999999970169","1.85309545486234e-11"
